source_pdf,weight_kg,ias_liftoff_kmh,ias_liftoff_kt,ias_liftoff_mph,ias_15m_kmh,ias_15m_kt,ias_15m_mph,pressure_altitude_ft,pressure_altitude_m,ground_roll_0c_m,total_clear_15m_0c_m,ground_roll_10c_m,total_clear_15m_10c_m,ground_roll_20c_m,total_clear_15m_20c_m,ground_roll_30c_m,total_clear_15m_30c_m,ground_roll_40c_m,total_clear_15m_40c_m,confidence,notes
soft_field_to_862.pdf,862,87,47,54,100,54,62,0,0,143,254,154,280,165,300,177,319,189,340,medium,Sea level row transcribed from poor scan
soft_field_to_862.pdf,862,87,47,54,100,54,62,1000,305,157,287,168,306,180,323,194,347,207,370,medium,
soft_field_to_862.pdf,862,87,47,54,100,54,62,2000,610,171,312,184,334,197,357,212,379,227,405,medium,
soft_field_to_862.pdf,862,87,47,54,100,54,62,3000,914,187,340,201,364,216,389,232,418,248,443,medium,
soft_field_to_862.pdf,862,87,47,54,100,54,62,4000,1219,204,372,221,398,238,427,255,454,273,486,medium,
soft_field_to_862.pdf,862,87,47,54,100,54,62,5000,1524,226,408,242,437,261,464,281,500,300,535,medium,
soft_field_to_862.pdf,862,87,47,54,100,54,62,6000,1829,247,448,268,480,287,513,308,558,331,591,medium,
soft_field_to_862.pdf,862,87,47,54,100,54,62,7000,2134,273,494,294,530,315,568,340,610,364,654,medium,
soft_field_to_862.pdf,862,87,47,54,100,54,62,8000,2438,300,546,325,587,349,629,375,677,402,727,medium,
soft_field_to_953.pdf,953,93,50,58,104,56,64,0,0,178,326,192,347,207,372,221,396,234,424,medium,Sea level row transcribed from poor scan
soft_field_to_953.pdf,953,93,50,58,104,56,64,1000,305,195,355,210,379,226,405,242,433,259,463,medium,
soft_field_to_953.pdf,953,93,50,58,104,56,64,2000,610,213,388,230,415,247,443,265,474,285,507,medium,
soft_field_to_953.pdf,953,93,50,58,104,56,64,3000,914,235,424,252,454,271,486,291,521,312,558,medium,
soft_field_to_953.pdf,953,93,50,58,104,56,64,4000,1219,258,464,277,500,299,535,320,573,344,614,medium,
soft_field_to_953.pdf,953,93,50,58,104,56,64,5000,1524,283,512,305,550,328,590,352,632,378,680,medium,
soft_field_to_953.pdf,953,93,50,58,104,56,64,6000,1829,312,564,335,607,363,652,389,700,414,754,medium,
soft_field_to_953.pdf,953,93,50,58,104,56,64,7000,2134,344,625,370,674,399,725,430,780,462,840,medium,
soft_field_to_953.pdf,953,93,50,58,104,56,64,8000,2438,379,693,410,750,442,809,475,873,512,942,medium,
soft_field_to_1043.pdf,1043,96,52,60,109,59,68,0,0,219,394,236,424,255,454,273,485,293,518,medium,Sea level row transcribed from poor scan
soft_field_to_1043.pdf,1043,96,52,60,109,59,68,1000,305,241,433,259,465,279,497,299,532,320,568,medium,
soft_field_to_1043.pdf,1043,96,52,60,109,59,68,2000,610,264,474,283,508,305,546,328,584,350,626,medium,
soft_field_to_1043.pdf,1043,96,52,60,109,59,68,3000,914,290,521,312,559,335,600,361,645,387,690,medium,
soft_field_to_1043.pdf,1043,96,52,60,109,59,68,4000,1219,319,573,343,617,369,663,395,712,427,765,medium,
soft_field_to_1043.pdf,1043,96,52,60,109,59,68,5000,1524,351,638,378,688,407,735,437,791,469,852,medium-low,0C total clear value is especially blurry; read as 638
soft_field_to_1043.pdf,1043,96,52,60,109,59,68,6000,1829,386,708,416,757,450,817,483,882,520,953,medium,
soft_field_to_1043.pdf,1043,96,52,60,109,59,68,7000,2134,427,782,460,844,497,914,535,989,576,1071,medium,
soft_field_to_1043.pdf,1043,96,52,60,109,59,68,8000,2438,472,875,511,948,550,1029,593,1119,639,1216,medium,
